시도,시군구,구분,201912,202001,202002,202003,202004,202005
경기,가평군,부상자수,0,2,0,2,0,6
경기,양평군,사고건수,0,0,0,2,6,1
경기,양평군,사망자수,0,0,0,0,2,0
경기,양평군,부상자수,0,0,0,2,6,2
경기,이천시,사고건수,6,4,4,3,5,11
경기,이천시,사망자수,0,0,0,1,0,0
경기,이천시,부상자수,6,5,4,3,7,13
경기,용인시,사고건수,19,12,16,15,18,21
경기,용인시,사망자수,0,1,1,1,0,1
경기,용인시,부상자수,27,15,16,22,20,28
경기,안성시,사고건수,7,3,3,7,7,6
경기,안성시,사망자수,0,0,0,0,0,0
경기,안성시,부상자수,8,3,3,11,10,10
경기,김포시,사고건수,10,15,10,6,12,16
경기,김포시,사망자수,0,2,1,0,0,2
경기,김포시,부상자수,20,22,9,6,16,24
경기,동두천시,사고건수,1,2,1,2,0,1
경기,동두천시,사망자수,0,0,0,0,0,1
경기,동두천시,부상자수,1,2,2,2,0,0
경기,과천시,사고건수,1,1,2,1,0,0
경기,과천시,사망자수,0,0,0,0,0,0
경기,과천시,부상자수,1,2,2,1,0,0
경기,군포시,사고건수,8,5,6,6,13,12
경기,군포시,사망자수,0,0,0,0,0,0
경기,군포시,부상자수,8,9,11,8,17,21
경기,남양주시,사고건수,12,6,14,10,14,20
경기,남양주시,사망자수,0,0,1,0,0,0
경기,남양주시,부상자수,16,9,14,13,21,25
경기,오산시,사고건수,7,6,10,4,10,8
경기,오산시,사망자수,0,0,0,0,0,0
경기,오산시,부상자수,10,7,12,6,15,11
경기,의왕시,사고건수,1,3,1,4,1,1
경기,의왕시,사망자수,0,0,0,0,1,0
경기,의왕시,부상자수,1,6,1,4,0,2
경기,하남시,사고건수,7,11,6,7,6,6
경기,하남시,사망자수,1,0,0,2,0,1
경기,하남시,부상자수,7,17,9,8,8,7
